date,location,target,assay,conc,type,frequency,lod
2021-08-31,outlet,total_cyano,16s rrna,31899.234185579397,passive,bi-weekly,260
2021-08-31,inlet,total_cyano,16s rrna,288419.47794991056,grab,weekly,180
2021-08-31,outlet,total_cyano,16s rrna,359944.53672804503,grab,weekly,180
2021-08-31,inlet,cyra,toxins,NA,passive,weekly,260
2021-08-31,inlet,cyra,toxins,1442.9068071184176,passive,bi-weekly,260
2021-08-31,outlet,cyra,toxins,NA,passive,weekly,260
2021-08-31,outlet,cyra,toxins,NA,passive,bi-weekly,260
2021-08-31,inlet,sxta,toxins,17.89037449151206,passive,weekly,260
2021-08-31,inlet,sxta,toxins,484.8227192788675,passive,bi-weekly,260
2021-08-31,outlet,sxta,toxins,NA,passive,weekly,260
2021-08-31,outlet,sxta,toxins,NA,passive,bi-weekly,260
2021-08-31,inlet,mcye_ndaf,toxins,15.24732625526245,passive,weekly,260
2021-08-31,inlet,mcye_ndaf,toxins,27.6345339748962,passive,bi-weekly,260
2021-08-31,outlet,mcye_ndaf,toxins,27.968927618560603,passive,weekly,260
2021-08-31,outlet,mcye_ndaf,toxins,NA,passive,bi-weekly,260
2021-08-31,inlet,cyra,toxins,NA,grab,weekly,180
2021-08-31,outlet,cyra,toxins,8.239885939347202,grab,weekly,180
2021-08-31,inlet,sxta,toxins,NA,grab,weekly,180
2021-08-31,outlet,sxta,toxins,NA,grab,weekly,180
2021-08-31,inlet,mcye_ndaf,toxins,4020.06622125841,grab,weekly,180
2021-08-31,outlet,mcye_ndaf,toxins,20777.36874917402,grab,weekly,180
2021-09-02,intake,total_cyano,16s rrna,146523.1978910336,passive,weekly,260
2021-09-02,intake,cyra,toxins,4.091273543030604,passive,weekly,260
2021-09-02,intake,sxta,toxins,NA,passive,weekly,260
2021-09-02,intake,mcye_ndaf,toxins,3236.89523531144,passive,weekly,260
2021-09-02,intake,total_cyano,16s rrna,196051.27988676168,passive,weekly,260
2021-09-07,inlet,cyra,toxins,403.0220166671137,passive,weekly,260
2021-09-07,inlet,sxta,toxins,1225.3430378077321,passive,weekly,260
2021-09-07,inlet,mcye_ndaf,toxins,25.99601717203061,passive,weekly,260
2021-09-07,inlet,total_cyano,16s rrna,2285301.7054287842,passive,weekly,260
2021-09-07,outlet,total_cyano,16s rrna,1225640.9212361556,passive,weekly,260
2021-09-07,inlet,total_cyano,16s rrna,274321.6841132201,grab,weekly,180
2021-09-07,outlet,total_cyano,16s rrna,352823.8978387136,grab,weekly,180
2021-09-07,inlet,cyra,toxins,1659.4567565792477,passive,weekly,260
2021-09-07,outlet,cyra,toxins,933.5736698963692,passive,weekly,260
2021-09-07,inlet,cyra,toxins,23.603297408042614,grab,weekly,180
2021-09-07,outlet,cyra,toxins,0.8145357693524317,grab,weekly,180
2021-09-07,inlet,sxta,toxins,782.4397657145801,passive,weekly,260
2021-09-07,outlet,sxta,toxins,NA,passive,weekly,260
2021-09-07,inlet,sxta,toxins,NA,grab,weekly,180
2021-09-07,outlet,sxta,toxins,NA,grab,weekly,180
2021-09-07,inlet,mcye_ndaf,toxins,771.51039227864,passive,weekly,260
2021-09-07,outlet,mcye_ndaf,toxins,6587.767533181038,passive,weekly,260
2021-09-07,inlet,mcye_ndaf,toxins,5940.104810737844,grab,weekly,180
2021-09-07,outlet,mcye_ndaf,toxins,38272.63629829804,grab,weekly,180
2021-09-09,intake,total_cyano,16s rrna,143382.76660474812,passive,weekly,260
2021-09-09,intake,cyra,toxins,NA,passive,weekly,260
2021-09-09,intake,sxta,toxins,NA,passive,weekly,260
2021-09-09,intake,mcye_ndaf,toxins,3593.1310773929204,passive,weekly,260
